"SPECIES_SCIENTIFIC","LONGITUDE","LATITUDE","DATATYPE","OWNER","DAY","MONTH","YEAR","GENUS","SPECIES","date","east_boundary","west_boundary"
"TORPEDO SINUSPERSICI",32.683308,-27.534618,"UVC","SHARKLIFE",21,2,2020,"TORPEDO","SINUSPERSICI",2020-02-21,32.683308,NA
"MOBULA BIROSTRIS",32.710514,-27.463802,"UVC","SHARKLIFE",1,3,2020,"MOBULA","BIROSTRIS",2020-03-01,32.710514,NA
"MOBULA ALFREDI",32.710514,-27.463802,"UVC","SHARKLIFE",9,3,2020,"MOBULA","ALFREDI",2020-03-09,32.710514,NA
"0",32.685593,-27.514023,"UVC","SHARKLIFE",8,9,2020,"0","",2020-09-08,32.685593,NA
"GYMNURA NATALENSIS",18.43802,-34.14166,"ACOUSTIC","PCOWLEY",23,1,2020,"GYMNURA","NATALENSIS",2020-01-23,NA,18.43802
"CARCHARHINUS BREVIPINNA",28.391333,-32.708083,"ACOUSTIC","RDALY",18,3,2021,"CARCHARHINUS","BREVIPINNA",2021-03-18,NA,28.391333
"GALEOCERDO CUVIER",19.69416,-34.77472,"ACOUSTIC","RDALY",29,1,2016,"GALEOCERDO","CUVIER",2016-01-29,NA,19.69416
"MUSTELUS MUSTELUS",-34.20138,-34.20138,"BRUV","Cape RADD",11,9,2018,"MUSTELUS","MUSTELUS",2018-09-11,NA,-34.20138
"PORODERMA AFRICANUM",-34.13537,-34.13537,"BRUV","Cape RADD",29,5,2019,"PORODERMA","AFRICANUM",2019-05-29,NA,-34.13537
"HAPLOBLEPHARUS PICTUS",-34.13537,-34.13537,"BRUV","Cape RADD",29,5,2019,"HAPLOBLEPHARUS","PICTUS",2019-05-29,NA,-34.13537
"HAPLOBLEPHARUS EDWARDSII",-34.24167,-34.24167,"BRUV","Cape RADD",19,6,2019,"HAPLOBLEPHARUS","EDWARDSII",2019-06-19,NA,-34.24167
"SPECIES",19.11148,-34.41415,"BRUV","SASC",19,6,2019,"SPECIES","",2019-06-19,NA,19.11148
"HEMIPRISTIS ELONGATA",32.596602,-27.910626,"BRUV","SHARKLIFE",26,7,2021,"HEMIPRISTIS","ELONGATA",2021-07-26,NA,32.596602
"CARCHARHINUS AMBLYRHYNCHOS",32.596602,-27.910626,"BRUV","SHARKLIFE",26,7,2021,"CARCHARHINUS","AMBLYRHYNCHOS",2021-07-26,NA,32.596602
"TRIAENODON OBESUS",32.596602,-27.910626,"BRUV","SHARKLIFE",26,7,2021,"TRIAENODON","OBESUS",2021-07-26,NA,32.596602
"HIMANTURA UNDULATA",32.596602,-27.910626,"BRUV","SHARKLIFE",26,7,2021,"HIMANTURA","UNDULATA",2021-07-26,NA,32.596602
"MACULABATIS AMBIGUA",32.652845,27.665452,"BRUV","SHARKLIFE",3,8,2021,"MACULABATIS","AMBIGUA",2021-08-03,NA,32.652845
"HIMANTURA FAI",32.652845,27.665452,"BRUV","SHARKLIFE",3,8,2021,"HIMANTURA","FAI",2021-08-03,NA,32.652845
"CARCHAHINUS LIMBATUS",32.68236,-27.51646,"BRUV","SHARKLIFE",16,7,2021,"CARCHAHINUS","LIMBATUS",2021-07-16,NA,32.68236
"DASYATIDAE",32.68236,-27.51646,"BRUV","SHARKLIFE",16,7,2021,"DASYATIDAE","",2021-07-16,NA,32.68236
"HIMANTURA JENKINSII",32.68236,-27.51646,"BRUV","SHARKLIFE",16,7,2021,"HIMANTURA","JENKINSII",2021-07-16,NA,32.68236
"MANTA ALFREDI",32.68236,-27.51646,"BRUV","SHARKLIFE",16,7,2021,"MANTA","ALFREDI",2021-07-16,NA,32.68236
"MOBULA KUHLII",32.68236,-27.51646,"BRUV","SHARKLIFE",16,7,2021,"MOBULA","KUHLII",2021-07-16,NA,32.68236
"CARCHARHINIDAE SP.",29.97175,-31.33218,"BRUV","NRF-SAIAB MARIP",5,4,2017,"CARCHARHINIDAE","SP.",2017-04-05,NA,29.97175
"RHINIDAE SP.",32.68326,-27.53462,"BRUV","SharkLife",15,11,2020,"RHINIDAE","SP.",2020-11-15,NA,32.68326
"CARCHARHINUS ALBIMARGINATUS",30.78849,-30.28973,"BRUV","NRF-SAIAB MARIP",4,11,2017,"CARCHARHINUS","ALBIMARGINATUS",2017-11-04,NA,30.78849
"DIPTURUS DOUTREI",23.86879,-34.04078,"BRUV","NRF-SAIAB MARIP",3,6,2019,"DIPTURUS","DOUTREI",2019-06-03,NA,23.86879
"HALAELURUS LINEATUS",27.99479879,-33.00906843,"BRUV","NRF-SAIAB MARIP",9,4,2016,"HALAELURUS","LINEATUS",2016-04-09,NA,27.99479879
"HEPTRANCHIAS PERLO",32.71112,-27.48382,"BRUV","NRF-SAIAB MARIP",14,6,2017,"HEPTRANCHIAS","PERLO",2017-06-14,NA,32.71112
"DIPTURUS PULLOPUNCTATUS",23.86874,-34.0458,"BRUV","NRF-SAIAB MARIP",23,2,2020,"DIPTURUS","PULLOPUNCTATUS",2020-02-23,NA,23.86874
"HEXANCHIDAE SP.",18.433417,-34.168889,"BRUV","SANParks",12,2,2020,"HEXANCHIDAE","SP.",2020-02-12,NA,18.433417
"ALOPIAS PELAGICUS",30.0132,-31.3000833333333,"BRUV","NRF-SAIAB MARIP",21,1,2014,"ALOPIAS","PELAGICUS",2014-01-21,NA,30.0132
"HALAELURUS NATALENSIS",18.443766667,-34.144983333,"BRUV","UCT",1,8,2015,"HALAELURUS","NATALENSIS",2015-08-01,NA,18.443766667
"SQUALUS ACANTHIAS",29.37809,-31.89492,"BRUV","NRF-SAIAB MARIP",23,5,2021,"SQUALUS","ACANTHIAS",2021-05-23,NA,29.37809
"SQUALUS ACUTIPINNIS",21.4764,-34.39511,"BRUV","Cape Nature",10,12,2014,"SQUALUS","ACUTIPINNIS",2014-12-10,NA,21.4764
"LEUCORAJA WALLACEI",29.47103,-31.73669,"BRUV","NRF-SAIAB MARIP",13,5,2021,"LEUCORAJA","WALLACEI",2021-05-13,NA,29.47103
"RAJA CLAVATA",22.33119,-34.06694,"BRUV","NRF-SAIAB MARIP",11,3,2021,"RAJA","CLAVATA",2021-03-11,NA,22.33119
"SQUALUS MEGALOPS",19.338552,-34.634512,"BRUV","SASC/Cape Nature",19,9,2016,"SQUALUS","MEGALOPS",2016-09-19,NA,19.338552
"RAJA SP.",23.87914,-34.05261,"BRUV","NRF-SAIAB MARIP",21,2,2020,"RAJA","SP.",2020-02-21,NA,23.87914
"SQUALUS SP.",19.9205,-35.143667,"BRUV","DFFE/SAIAB",1,10,2014,"SQUALUS","SP.",2014-10-01,NA,19.9205
"MYLIOBATIDAE SP.",24.81875,-34.21388,"BRUV","NRF-SAIAB MARIP",16,1,2020,"MYLIOBATIDAE","SP.",2020-01-16,NA,24.81875
"RAJIDAE SP.",32.305109,-28.747617,"BRUV","NRF-SAIAB MARIP",22,10,2020,"RAJIDAE","SP.",2020-10-22,NA,32.305109
"HAPLOBLEPHARUS SP.",18.4504,-34.132333333,"BRUV","UCT",2,8,2015,"HAPLOBLEPHARUS","SP.",2015-08-02,NA,18.4504
"BATHYTOSHIA LATA",22.31263,-34.06204,"BRUV","NRF-SAIAB MARIP",10,3,2021,"BATHYTOSHIA","LATA",2021-03-10,NA,22.31263
"TORPEDO SINUSPERSICI",30.82836,-30.26326,"BRUV","NRF-SAIAB MARIP",4,11,2017,"TORPEDO","SINUSPERSICI",2017-11-04,NA,30.82836
"AETOBATUS OCELLATUS",30.82913,-30.25903,"BRUV","NRF-SAIAB MARIP",4,11,2017,"AETOBATUS","OCELLATUS",2017-11-04,NA,30.82913
"CARCHARHINUS FALCIFORMIS",22.33533,-34.06241,"BRUV","NRF-SAIAB MARIP",11,3,2021,"CARCHARHINUS","FALCIFORMIS",2021-03-11,NA,22.33533
"CARCHARHINUS HUMANI",30.61649,-30.54916,"BRUV","NRF-SAIAB MARIP",27,4,2017,"CARCHARHINUS","HUMANI",2017-04-27,NA,30.61649
"BATHYTOSHIA SP.",22.31263,-34.06204,"BRUV","NRF-SAIAB MARIP",10,3,2021,"BATHYTOSHIA","SP.",2021-03-10,NA,22.31263
"DASYATIDAE SP.",25.8808,-33.98706,"BRUV","NRF-SAIAB MARIP",20,4,2015,"DASYATIDAE","SP.",2015-04-20,NA,25.8808
"CARCHARHINUS LEUCAS",22.33533,-34.06241,"BRUV","NRF-SAIAB MARIP",11,3,2021,"CARCHARHINUS","LEUCAS",2021-03-11,NA,22.33533
"MOBULIDAE SP.",32.7124,-27.55657,"BRUV","NRF-SAIAB MARIP",18,6,2018,"MOBULIDAE","SP.",2018-06-18,NA,32.7124
"ALOPIAS SP.",24.73319,-34.20624,"BRUV","NRF-SAIAB MARIP",15,1,2020,"ALOPIAS","SP.",2020-01-15,NA,24.73319
"CARCHARHINUS LIMBATUS",23.3857,-34.11046,"BRUV","NRF-SAIAB MARIP",17,3,2021,"CARCHARHINUS","LIMBATUS",2021-03-17,NA,23.3857
"SPHYRNA SP.",22.31736,-34.05906,"BRUV","NRF-SAIAB MARIP",11,3,2021,"SPHYRNA","SP.",2021-03-11,NA,22.31736
"MOBULA SP.",22.31263,-34.06204,"BRUV","NRF-SAIAB MARIP",10,3,2021,"MOBULA","SP.",2021-03-10,NA,22.31263
"CARCHARHINUS PLUMBEUS",28.89136,-32.28106,"BRUV","NRF-SAIAB MARIP",25,5,2021,"CARCHARHINUS","PLUMBEUS",2021-05-25,NA,28.89136
"CARCHARHINUS SP.",21.90891,-34.34813,"BRUV","NRF-SAIAB MARIP",13,3,2021,"CARCHARHINUS","SP.",2021-03-13,NA,21.90891
"RHYNCHOBATUS DJIDDENSIS",29.34831,-31.81119,"BRUV","NRF-SAIAB MARIP",15,5,2021,"RHYNCHOBATUS","DJIDDENSIS",2021-05-15,NA,29.34831
"MUSTELUS PALUMBES",21.89585,-34.35605,"BRUV","NRF-SAIAB MARIP",13,3,2021,"MUSTELUS","PALUMBES",2021-03-13,NA,21.89585
"TORPEDO FUSCOMACULATA",29.21921,-31.95103,"BRUV","NRF-SAIAB MARIP",24,5,2021,"TORPEDO","FUSCOMACULATA",2021-05-24,NA,29.21921
"HIMANTURA SP.",30.07991,-31.25754,"BRUV","NRF-SAIAB MARIP",12,4,2017,"HIMANTURA","SP.",2017-04-12,NA,30.07991
"SQUATINA AFRICANA",30.01908,-31.33774,"BRUV","NRF-SAIAB MARIP",11,5,2015,"SQUATINA","AFRICANA",2015-05-11,NA,30.01908
"HIMANTURA UARNAK",30.82836,-30.26326,"BRUV","NRF-SAIAB MARIP",4,11,2017,"HIMANTURA","UARNAK",2017-11-04,NA,30.82836
"MUSTELUS SP.",21.88692,-34.35798,"BRUV","NRF-SAIAB MARIP",13,3,2021,"MUSTELUS","SP.",2021-03-13,NA,21.88692
"ACROTERIOBATUS SP.",31.12411,-29.84634,"BRUV","NRF-SAIAB MARIP",13,4,2017,"ACROTERIOBATUS","SP.",2017-04-13,NA,31.12411
"NEOTRYGON CAERULEOPUNCTATA",30.51059,-30.83793,"BRUV","NRF-SAIAB MARIP",11,4,2017,"NEOTRYGON","CAERULEOPUNCTATA",2017-04-11,NA,30.51059
"NEOTRYGON SP.",30.30082,-30.98703,"BRUV","NRF-SAIAB MARIP",10,5,2015,"NEOTRYGON","SP.",2015-05-10,NA,30.30082
"PATEOBATIS FAI",29.35191,-31.81692,"BRUV","NRF-SAIAB MARIP",15,5,2021,"PATEOBATIS","FAI",2021-05-15,NA,29.35191
"PATEOBATIS JENKINSII",25.86459,-33.98986,"BRUV","NRF-SAIAB MARIP",20,4,2015,"PATEOBATIS","JENKINSII",2015-04-20,NA,25.86459
"RHINOBATIDAE SP.",21.9185,-34.35273,"BRUV","NRF-SAIAB MARIP",13,3,2021,"RHINOBATIDAE","SP.",2021-03-13,NA,21.9185
"PTEROPLATYTRYGON VIOLACEA",32.71101,-27.48131,"BRUV","NRF-SAIAB MARIP",12,6,2017,"PTEROPLATYTRYGON","VIOLACEA",2017-06-12,NA,32.71101
"SCYLLIOGALEUS QUECKETTI",29.9655,-31.37544,"BRUV","NRF-SAIAB MARIP",26,1,2014,"SCYLLIOGALEUS","QUECKETTI",2014-01-26,NA,29.9655
"ROSTRORAJA ALBA",18.483733333,-34.265783333,"BRUV","UCT",12,8,2015,"ROSTRORAJA","ALBA",2015-08-12,NA,18.483733333
"MISTAKE",22.31263,-34.06204,"BRUV","NRF-SAIAB MARIP",10,3,2021,"MISTAKE","",2021-03-10,NA,22.31263
"LOXODON MACRORHINUS",32.89791,-27.08029,"BRUV","NRF-SAIAB MARIP",13,11,2020,"LOXODON","MACRORHINUS",2020-11-13,NA,32.89791
"RHIZOPRIONODON ACUTUS",32.6074833333333,-27.8910833333333,"BRUV","NRF-SAIAB MARIP",4,11,2016,"RHIZOPRIONODON","ACUTUS",2016-11-04,NA,32.6074833333333
"TAENIUROPS MEYENI",30.47964,-30.8408,"BRUV","NRF-SAIAB MARIP",11,4,2017,"TAENIUROPS","MEYENI",2017-04-11,NA,30.47964
"MYLIOBATIS SP.",20.39632,-34.587001,"BRUV","UM",3,2,2020,"MYLIOBATIS","SP.",2020-02-03,NA,20.39632
"SPHYRNIDAE SP.",27.6681479718536,-33.1926375534385,"BRUV","NRF-SAIAB MARIP",31,3,2016,"SPHYRNIDAE","SP.",2016-03-31,NA,27.6681479718536
"SCYLIORHINIDAE SP.",23.91384,-34.02808,"BRUV","NRF-SAIAB MARIP",4,6,2019,"SCYLIORHINIDAE","SP.",2019-06-04,NA,23.91384
"SCYLIORHINUS CAPENSIS",19.9205,-35.143667,"BRUV","DFFE/SAIAB",1,10,2014,"SCYLIORHINUS","CAPENSIS",2014-10-01,NA,19.9205
"ONCORHYNCHUS TSHAWYTSCHA",-115.93472,46.12972,"LINEFISHING","ALBANO_P",5,9,2007,"ONCORHYNCHUS","TSHAWYTSCHA",2007-09-05,NA,-115.93472
"HIMANTURA LEOPARDA",31.844933,-28.943585,"LINEFISHING",NA,15,6,2016,"HIMANTURA","LEOPARDA",2016-06-15,NA,31.844933
"SPHYRNA MOKARRAN",29.60732,-31.595529,"LINEFISHING",NA,24,10,2020,"SPHYRNA","MOKARRAN",2020-10-24,NA,29.60732
"CARCHARHINUS OBSCURUS",18.451223,-34.196925,"LINEFISHING","ORI",27,6,2018,"CARCHARHINUS","OBSCURUS",2018-06-27,NA,18.451223
"ACROTERIOBATUS LEUCOSPILUS",23.060622,-34.082432,"LINEFISHING","ORI",22,12,1987,"ACROTERIOBATUS","LEUCOSPILUS",1987-12-22,NA,23.060622
"ACROTERIOBATUS ANNULATUS",11.75315,-17.26714,"LINEFISHING","ORI",1,12,1990,"ACROTERIOBATUS","ANNULATUS",1990-12-01,NA,11.75315
"CARCHARIAS TAURUS",14.449056,-22.448342,"LINEFISHING","ORI",6,10,1992,"CARCHARIAS","TAURUS",1992-10-06,NA,14.449056
"SPHYRNA LEWINI",18.686261,-34.074601,"LINEFISHING","ORI",11,2,1989,"SPHYRNA","LEWINI",1989-02-11,NA,18.686261
"NOTORYNCHUS CEPEDIANUS",12.003494,-18.434704,"LINEFISHING","ORI",4,12,1990,"NOTORYNCHUS","CEPEDIANUS",1990-12-04,NA,12.003494
"SPHYRNA ZYGAENA",18.480174,-34.104804,"LINEFISHING","ORI",15,1,1994,"SPHYRNA","ZYGAENA",1994-01-15,NA,18.480174
"GALEORHINUS GALEUS",13.034516,-19.987789,"LINEFISHING","ORI",8,3,1994,"GALEORHINUS","GALEUS",1994-03-08,NA,13.034516
"DASYATIS CHRYSONOTA",18.680121,-34.074067,"LINEFISHING",NA,30,11,2013,"DASYATIS","CHRYSONOTA",2013-11-30,NA,18.680121
"RAJA STRAELENI",18.126514,-32.764615,"LINEFISHING",NA,27,10,2012,"RAJA","STRAELENI",2012-10-27,NA,18.126514
"ACROTERIOBATUS BLOCHII",18.126514,-32.764615,"LINEFISHING",NA,27,10,2012,"ACROTERIOBATUS","BLOCHII",2012-10-27,NA,18.126514
"AETOMYLAEUS BOVINUS",18.126514,-32.764615,"LINEFISHING",NA,27,10,2012,"AETOMYLAEUS","BOVINUS",2012-10-27,NA,18.126514
"MYLIOBATIS AQUILA",18.581635,-34.087406,"LINEFISHING",NA,19,1,2013,"MYLIOBATIS","AQUILA",2013-01-19,NA,18.581635
"UNKNOWN",18.820466,-34.116257,"LINEFISHING",NA,12,7,2014,"UNKNOWN","",2014-07-12,NA,18.820466
"DASYATIS BREVICAUDATA",18.47667,-34.23683,"UVC","CAPERADD",11,1,2018,"DASYATIS","BREVICAUDATA",2018-01-11,NA,18.47667
"HAPLOBLEPHARUS FUSCUS",18.3574003435452,-33.9833868179623,"UVC","CAPERADD",4,10,2020,"HAPLOBLEPHARUS","FUSCUS",2020-10-04,NA,18.3574003435452
"TAENIURA LYMMA",32.68256,-27.53556,"UVC","DOSSANTOS_N",6,2,2021,"TAENIURA","LYMMA",2021-02-06,NA,32.68256
"NARKE CAPENSIS",18.328066,-34.134917,"UVC","ELMO",6,6,2016,"NARKE","CAPENSIS",2016-06-06,NA,18.328066
NA,18.30472,-34.0369,"UVC","SANPARKS",10,12,2020,NA,"",2020-12-10,NA,18.30472
"NOTORYNCHOS CEPEDIANUS",18.30472,-34.0369,"UVC","SANPARKS",10,12,2020,"NOTORYNCHOS","CEPEDIANUS",2020-12-10,NA,18.30472
"BATHYTOSHIA BREVICAUDATA",18.30472,-34.0369,"UVC","SANPARKS",10,12,2020,"BATHYTOSHIA","BREVICAUDATA",2020-12-10,NA,18.30472
"NS",32.683308,-27.534618,"UVC","SHARKLIFE",12,1,2020,"NS","",2020-01-12,NA,32.683308
"STEGOSTOMA FASCIATUM",32.712322,-27.443054,"UVC","SHARKLIFE",23,1,2020,"STEGOSTOMA","FASCIATUM",2020-01-23,NA,32.712322
"RHINOPTERA JAVANICA",32.683308,-27.534618,"UVC","SHARKLIFE",28,1,2020,"RHINOPTERA","JAVANICA",2020-01-28,NA,32.683308
"PASTINACHUS SEPHEN",32.683308,-27.534618,"UVC","SHARKLIFE",14,2,2020,"PASTINACHUS","SEPHEN",2020-02-14,NA,32.683308
"MOBULA ALFREDI",32.683308,-27.534618,"UVC","SHARKLIFE",22,2,2020,"MOBULA","ALFREDI",2020-02-22,NA,32.683308
"MOBULA BIROSTRIS",32.710514,-27.463802,"UVC","SHARKLIFE",1,3,2020,"MOBULA","BIROSTRIS",2020-03-01,NA,32.710514
"0",32.59793,-27.91384,"UVC","SHARKLIFE",13,11,2020,"0","",2020-11-13,NA,32.59793
