Date,Species_scientific,Species_common,Abundance,Depth,Latitude,Longitude,Datatype,Owner,DAY,MONTH,YEAR
16/07/2020,Carcharodon carcharias,White shark,1,0,-33.8686111,26.51222222,boatsighting,RAGGYCHARTERS,16,7,2020
23/07/2020,Carcharodon carcharias,White shark,4,0,-33.8686111,26.51222222,boatsighting,RAGGYCHARTERS,23,7,2020
24/07/2020,Carcharodon carcharias,White shark,6,0,-33.8686111,26.51222222,boatsighting,RAGGYCHARTERS,24,7,2020
30/08/2020,Carcharodon carcharias,White shark,4,0,-33.8686111,26.51222222,boatsighting,RAGGYCHARTERS,30,8,2020
31/08/2020,Carcharodon carcharias,White shark,7,0,-33.8686111,26.51222222,boatsighting,RAGGYCHARTERS,31,8,2020
06/09/2020,Carcharodon carcharias,White shark,4,0,-33.8686111,26.51222222,boatsighting,RAGGYCHARTERS,6,9,2020
07/09/2020,Carcharodon carcharias,White shark,5,0,-33.8686111,26.51222222,boatsighting,RAGGYCHARTERS,7,9,2020
08/09/2020,Carcharodon carcharias,White shark,5,0,-33.8686111,26.51222222,boatsighting,RAGGYCHARTERS,8,9,2020
19/09/2020,Carcharodon carcharias,White shark,2,0,-33.8686111,26.51222222,boatsighting,RAGGYCHARTERS,19,9,2020
19/10/2020,Carcharodon carcharias,White shark,0,0,-33.8686111,26.51222222,boatsighting,RAGGYCHARTERS,19,10,2020