"DATE","SITE (E.G. OLD HARBOUR)","LATITUDE","LONGITUDE","VIDEO START (00:00:00)","VIDEO END (00:00:00)","FOV %","VERTEBRATE OR INVERTEBRATE","FAMILY NAME","SPECIES_SCIENTIFIC","SPECIES_COMMON","TOFS (00:00:00)","FEED (Y/N)","MAX N","TIME AT MAX N (00:00:00)","VIDEO","SITE","HABITAT","NOTES/COMMENTS","DATA ENTERED BY (FULL NAMES)","DATE OF DATA ENTRY (DDMONYYYY)","DATA CHECKED BY (FULL NAME)","DATE OF DATA CHECK (DDMONYYYY)","DAY","MONTH","YEAR","OWNER","DATATYPE"
"13/03/2019",NA,-34.44806,19.28461,1899-12-31 00:07:26,1899-12-31 00:30:00,60,"Vertebrate","Scyliorhinidae","Poroderma africanum","Pyjama catshark",1899-12-31 00:11:29,"Y",2,1899-12-31 00:06:36,3,"F08","Sand","3 different sharks: #1 in video 1&2 and #2&3 in video 3 (MaxN) also #1 is F and #3 (bigger) is a M","Emy","9/09/2021",NA,NA,"13","03","2019","SASC","BRUV"
"19/06/2019",NA,-34.41415,19.11148,1899-12-31 00:00:00,1899-12-31 00:14:32,70,"Vertebrate","Scyliorhinidae","species","common_name",1899-12-31 00:08:39,"N",1,1899-12-31 00:08:39,2,"A06","Sand","Unidentified but shape like a shyshark","Emy","10/09/2021",NA,NA,"19","06","2019","SASC","BRUV"
"19/06/2019",NA,-34.43293,19.14573,1899-12-31 00:07:48,1899-12-31 00:49:19,10,"Vertebrate","Scyliorhinidae","Poroderma africanum","Pyjama catshark",1899-12-31 00:10:24,"Y",2,1899-12-31 00:30:10,1,"A13","Reef",NA,"Emy","10/09/2021",NA,NA,"19","06","2019","SASC","BRUV"
"19/06/2019",NA,-34.43293,19.14573,1899-12-31 00:07:48,1899-12-31 00:49:19,10,"Vertebrate","Scyliorhinidae","Poroderma pantherinum","Leopard catshark",1899-12-31 00:14:35,"Y",3,1899-12-31 00:13:24,2,"A13","Reef",NA,"Emy","10/09/2021",NA,NA,"19","06","2019","SASC","BRUV"
"19/06/2019",NA,-34.43293,19.14573,1899-12-31 00:07:48,1899-12-31 00:49:19,10,"Vertebrate","Scyliorhinidae","Haploblepharus edwardsii","Puffadder shyshark",1899-12-31 00:41:38,"N",1,1899-12-31 00:41:38,1,"A13","Reef",NA,"Emy","10/09/2021",NA,NA,"19","06","2019","SASC","BRUV"
"19/06/2019",NA,-34.43293,19.14573,1899-12-31 00:07:48,1899-12-31 00:49:19,10,"Vertebrate","Triakidae","Galeorhinus galeus","Soupfin shark",1899-12-31 00:11:50,"N",1,1899-12-31 00:11:50,1,"A13","Reef",NA,"Emy","10/09/2021",NA,NA,"19","06","2019","SASC","BRUV"
"19/06/2019",NA,-34.42987,19.15054,1899-12-31 00:08:24,1899-12-31 00:30:00,30,"Vertebrate","Scyliorhinidae","Haploblepharus pictus","Dark shyshark",1899-12-31 00:09:02,"Y",1,1899-12-31 00:09:02,1,"A14","Reef",NA,"Emy","11/09/2021",NA,NA,"19","06","2019","SASC","BRUV"
"19/06/2019",NA,-34.42987,19.15054,1899-12-31 00:08:24,1899-12-31 00:30:00,30,"Vertebrate","Scyliorhinidae","Poroderma africanum","Pyjama catshark",1899-12-31 00:09:05,"Y",3,1899-12-31 00:21:32,2,"A14","Reef",NA,"Emy","11/09/2021",NA,NA,"19","06","2019","SASC","BRUV"
"19/06/2019",NA,-34.42987,19.15054,1899-12-31 00:08:24,1899-12-31 00:30:00,30,"Vertebrate","Triakidae","Galeorhinus galeus","Soupfin shark",1899-12-31 00:15:54,"Y",1,1899-12-31 00:15:54,1,"A14","Reef",NA,"Emy","11/09/2021",NA,NA,"19","06","2019","SASC","BRUV"
"19/06/2019",NA,-34.42987,19.15054,1899-12-31 00:00:00,1899-12-31 00:30:00,30,"Vertebrate","Scyliorhinidae","Halaelurus natalensis","Tiger catshark",1899-12-31 00:07:53,"N",1,1899-12-31 00:07:53,2,"A14","Reef",NA,"Emy","11/09/2021",NA,NA,"19","06","2019","SASC","BRUV"
"19/06/2019",NA,-34.43239,19.15821,1899-12-31 00:00:00,1899-12-31 00:30:00,90,"Vertebrate","Scyliorhinidae","Poroderma africanum","Pyjama catshark",1899-12-31 00:06:57,"Y",2,1899-12-31 00:16:50,2,"A15","Sand",NA,"Emy","11/09/2021",NA,NA,"19","06","2019","SASC","BRUV"
"19/06/2019",NA,-34.43239,19.15821,1899-12-31 00:00:00,1899-12-31 00:30:00,90,"Vertebrate","Scyliorhinidae","Haploblepharus edwardsii","Puffadder shyshark",1899-12-31 00:26:42,"N",1,1899-12-31 00:26:42,2,"A15","Sand",NA,"Emy","11/09/2021",NA,NA,"19","06","2019","SASC","BRUV"
"19/06/2019",NA,-34.43239,19.15821,1899-12-31 00:00:00,1899-12-31 00:06:07,90,"Vertebrate","Triakidae","Mustelus mustelus","Smooth-hound shark",1899-12-31 00:04:39,"N",1,1899-12-31 00:04:39,3,"A15","Sand",NA,"Emy","11/09/2021",NA,NA,"19","06","2019","SASC","BRUV"
"19/06/2019",NA,-34.42394,19.12781,1899-12-31 00:00:00,1899-12-31 00:30:00,50,"Vertebrate","Triakidae","Galeorhinus galeus","Soupfin shark",1899-12-31 00:00:23,"N",1,1899-12-31 00:00:23,2,"A19","Reef",NA,"Emy","11/09/2021",NA,NA,"19","06","2019","SASC","BRUV"
"19/06/2019",NA,-34.42394,19.12781,1899-12-31 00:00:00,1899-12-31 00:30:00,50,"Vertebrate","Dasyatidae","Bathytoshia brevicaudata","Short-tail stingray",1899-12-31 00:00:56,"N",1,1899-12-31 00:00:56,2,"A19","Reef",NA,"Emy","11/09/2021",NA,NA,"19","06","2019","SASC","BRUV"
"19/06/2019",NA,-34.42394,19.12781,1899-12-31 00:00:00,1899-12-31 00:30:00,50,"Vertebrate","Scyliorhinidae","Haploblepharus pictus","Dark shyshark",1899-12-31 00:08:23,"N",1,1899-12-31 00:08:23,2,"A19","Reef",NA,"Emy","11/09/2021",NA,NA,"19","06","2019","SASC","BRUV"
"19/06/2019",NA,-34.41812,19.12012,1899-12-31 00:07:24,1899-12-31 00:30:00,80,"Vertebrate","Scyliorhinidae","Haploblepharus pictus","Dark shyshark",1899-12-31 00:07:27,"Y",3,1899-12-31 00:22:31,1,"A20","Kelp",NA,"Emy","12/09/2021",NA,NA,"19","06","2019","SASC","BRUV"
"19/06/2019",NA,-34.423541,19.147681,1899-12-31 00:08:12,1899-12-31 00:49:15,50,"Vertebrate","Scyliorhinidae","Haploblepharus pictus","Dark shyshark",1899-12-31 00:08:33,"N",3,1899-12-31 00:09:53,1,"Kelp12","Kelp",NA,"Emy","12/09/2021",NA,NA,"19","06","2019","SASC","BRUV"
"20/08/2019",NA,-34.43379,19.26473,1899-12-31 00:00:00,1899-12-31 00:30:00,5,"Vertebrate","Triakidae","Mustelus mustelus","Smooth-hound shark",1899-12-31 00:26:20,"N",1,1899-12-31 00:26:20,2,"F03","Sand",NA,"Emy","13/09/2021",NA,NA,"20","08","2019","SASC","BRUV"
"20/08/2019",NA,-34.43749,19.27114,1899-12-31 00:00:00,1899-12-31 00:08:54,20,"Vertebrate","Scyliorhinidae","Haploblepharus pictus","Dark shyshark",1899-12-31 00:07:22,"N",1,1899-12-31 00:07:22,3,"F05","Sand",NA,"Emy","13/09/2021",NA,NA,"20","08","2019","SASC","BRUV"
"20/08/2019",NA,-34.46406,19.29126,1899-12-31 13:05:45,1899-12-31 13:14:37,30,"Vertebrate","Scyliorhinidae","Poroderma africanum","Pyjama catshark",1899-12-31 13:11:44,"Y",1,1899-12-31 13:11:44,6,"F07","Reef",NA,"Emy","15/09/2021",NA,NA,"20","08","2019","SASC","BRUV"
"21/08/2019",NA,-34.4268,19.17771,1899-12-31 02:45:50,1899-12-31 02:54:42,80,"Vertebrate","Scyliorhinidae","Haploblepharus pictus","Dark shyshark",1899-12-31 02:50:30,"Y",1,1899-12-31 02:50:30,4,"B01","Reef",NA,"Emy","16/09/2021",NA,NA,"21","08","2019","SASC","BRUV"
"21/08/2019",NA,-34.43208,19.18955,1899-12-31 04:26:19,1899-12-31 04:27:32,50,"Vertebrate","Scyliorhinidae","Haploblepharus pictus","Dark shyshark",1899-12-31 04:26:37,"Y",2,1899-12-31 04:28:46,1,"B08","Reef","#1 4:28:45 ; #2 4:29:05 ; 4:31:33","Emy","16/09/2021",NA,NA,"21","08","2019","SASC","BRUV"
"21/08/2019",NA,-34.44716,19.20303,1899-12-31 00:07:15,1899-12-31 00:30:00,60,"Vertebrate","Scyliorhinidae","Haploblepharus pictus","Dark shyshark",1899-12-31 00:13:21,"N",1,1899-12-31 00:13:21,1,"B13","Sand","Might be 2 ind","Emy","20/09/2021",NA,NA,"21","08","2019","SASC","BRUV"
"21/08/2019",NA,-34.44716,19.20303,1899-12-31 00:07:15,1899-12-31 00:30:00,60,"Vertebrate","Hexanchidae","Notorynchus cepedianus","Sevengill cowshark",1899-12-31 00:15:45,"Y",1,1899-12-31 00:15:45,1,"B13","Sand",NA,"Emy","20/09/2021",NA,NA,"21","08","2019","SASC","BRUV"
"21/08/2019",NA,-34.44716,19.20303,1899-12-31 00:00:00,1899-12-31 00:30:00,60,"Vertebrate","Scyliorhinidae","Poroderma africanum","Pyjama catshark",1899-12-31 00:17:44,"Y",1,1899-12-31 00:17:44,2,"B13","Sand","2 ind","Emy","20/09/2021",NA,NA,"21","08","2019","SASC","BRUV"
"21/08/2019",NA,-34.45963,19.21612,1899-12-31 00:07:17,1899-12-31 00:30:00,50,"Vertebrate","Triakidae","Mustelus mustelus","Smooth-hound shark",1899-12-31 00:07:19,"N",1,1899-12-31 00:07:19,1,"B14","Sand",NA,"Emy","20/09/2021",NA,NA,"21","08","2019","SASC","BRUV"
"21/08/2019",NA,-34.45963,19.21612,1899-12-31 00:07:17,1899-12-31 00:30:00,50,"Vertebrate","Scyliorhinidae","Haploblepharus pictus","Dark shyshark",1899-12-31 00:18:18,"N",4,1899-12-31 00:22:52,2,"B14","Sand",NA,"Emy","20/09/2021",NA,NA,"21","08","2019","SASC","BRUV"
"21/08/2019",NA,-34.45963,19.21612,1899-12-31 00:00:00,1899-12-31 00:30:00,50,"Vertebrate","Dasyatidae","Bathytoshia brevicaudata","Short-tail stingray",1899-12-31 00:04:34,"N",1,1899-12-31 00:04:34,2,"B14","Sand",NA,"Emy","20/09/2021",NA,NA,"21","08","2019","SASC","BRUV"
"21/08/2019",NA,-34.45963,19.21612,1899-12-31 00:00:00,1899-12-31 00:07:17,50,"Vertebrate","Scyliorhinidae","Poroderma africanum","Pyjama catshark",1899-12-31 00:06:02,"N",1,1899-12-31 00:06:02,3,"B14","Sand",NA,"Emy","20/09/2021",NA,NA,"21","08","2019","SASC","BRUV"
"27/06/2019",NA,-34.42394,19.12781,1899-12-31 00:06:46,1899-12-31 00:30:00,40,"Vertebrate","Scyliorhinidae","Poroderma africanum","Pyjama catshark",1899-12-31 00:16:44,"N",1,1899-12-31 00:16:44,1,"A19","Reef",NA,"Emy","28/09/2021",NA,NA,"27","06","2019","SASC","BRUV"
"27/06/2019",NA,-34.42394,19.12781,1899-12-31 00:06:46,1899-12-31 00:30:00,40,"Vertebrate","Dasyatidae","Bathytoshia brevicaudata","Short-tail stingray",1899-12-31 00:17:56,"N",1,1899-12-31 00:17:56,1,"A19","Reef",NA,"Emy","28/09/2021",NA,NA,"27","06","2019","SASC","BRUV"
"27/06/2019",NA,-34.42394,19.12781,1899-12-31 00:06:46,1899-12-31 00:30:00,40,"Vertebrate","Scyliorhinidae","Haploblepharus pictus","Dark shyshark",1899-12-31 00:23:22,"N",1,1899-12-31 00:23:22,1,"A19","Reef",NA,"Emy","28/09/2021",NA,NA,"27","06","2019","SASC","BRUV"
"27/06/2019",NA,-34.41812,19.12012,1899-12-31 00:06:41,1899-12-31 00:49:15,60,"Vertebrate","Scyliorhinidae","Haploblepharus pictus","Dark shyshark",1899-12-31 00:06:41,"Y",3,1899-12-31 00:06:41,1,"A20","Kelp",NA,"Emy","28/09/2021",NA,NA,"27","06","2019","SASC","BRUV"
"27/06/2019",NA,-34.41812,19.12012,1899-12-31 00:06:41,1899-12-31 00:49:15,60,"Vertebrate","Scyliorhinidae","Poroderma africanum","Pyjama catshark",1899-12-31 00:07:37,"N",1,1899-12-31 00:07:37,1,"A20","Kelp",NA,"Emy","28/09/2021",NA,NA,"27","06","2019","SASC","BRUV"
"27/06/2019",NA,-34.41812,19.12012,1899-12-31 00:06:41,1899-12-31 00:49:15,60,"Vertebrate","Scyliorhinidae","Poroderma pantherinum","Leopard catshark",1899-12-31 00:08:37,"N",1,1899-12-31 00:08:37,1,"A20","Kelp",NA,"Emy","28/09/2021",NA,NA,"27","06","2019","SASC","BRUV"
"27/06/2019",NA,-34.43293,19.14573,1899-12-31 00:07:34,1899-12-31 00:49:15,10,"Vertebrate","Scyliorhinidae","Poroderma africanum","Pyjama catshark",1899-12-31 00:18:20,"Y",2,1899-12-31 00:35:54,1,"A13","Reef","3 ind","Emy","01/10/2021",NA,NA,"27","06","2019","SASC","BRUV"
"27/06/2019",NA,-34.42987,19.15054,1899-12-31 00:10:23,1899-12-31 00:30:00,30,"Vertebrate","Scyliorhinidae","Haploblepharus pictus","Dark shyshark",1899-12-31 00:17:59,"Y",1,1899-12-31 00:17:59,1,"A14","Reef",NA,"Emy","06/10/2021",NA,NA,"27","06","2019","SASC","BRUV"
"27/06/2019",NA,-34.42987,19.15054,1899-12-31 00:10:23,1899-12-31 00:30:00,30,"Vertebrate","Scyliorhinidae","Poroderma africanum","Pyjama catshark",1899-12-31 00:27:37,"Y",1,1899-12-31 00:27:37,1,"A14","Reef",NA,"Emy","06/10/2021",NA,NA,"27","06","2019","SASC","BRUV"
"27/06/2019",NA,-34.42987,19.15054,1899-12-31 00:00:00,1899-12-31 00:30:00,30,"Vertebrate","Scyliorhinidae","Poroderma pantherinum","Leopard catshark",1899-12-31 00:08:05,"N",1,1899-12-31 00:08:05,2,"A14","Reef",NA,"Emy","06/10/2021",NA,NA,"27","06","2019","SASC","BRUV"
"27/06/2019",NA,-34.42987,19.15054,1899-12-31 00:00:00,1899-12-31 00:30:00,30,"Vertebrate","Triakidae","Mustelus mustelus","Smooth-hound shark",1899-12-31 00:20:30,"N",1,1899-12-31 00:20:30,2,"A14","Reef",NA,"Emy","06/10/2021",NA,NA,"27","06","2019","SASC","BRUV"
"29/04/2019",NA,-34.4345,19.16653,1899-12-31 00:13:53,1899-12-31 00:49:19,60,"Vertebrate","Scyliorhinidae","Poroderma africanum","Pyjama catshark",1899-12-31 00:25:53,"N",1,1899-12-31 00:25:53,1,"B02","Sand","1 ind?","Emy","07/10/2021",NA,NA,"29","04","2019","SASC","BRUV"
"29/04/2019",NA,-34.44906,19.17839,1899-12-31 00:00:00,1899-12-31 00:30:00,40,"Vertebrate","Scyliorhinidae","Halaelurus natalensis","Tiger catshark",1899-12-31 00:11:35,"N",1,1899-12-31 00:11:35,2,"B07","Sand",NA,"Emy","07/10/2021",NA,NA,"29","04","2019","SASC","BRUV"
